Pinyin	Katakana	Palladitsa	Xiaoerjing
a	アー	а	اَ
ai	アイ	ай	اَیْ
an	アン	ань	اً
ang	アン	ан	اَنْ
ao	アオ	ао	اَوْ
ba	バー	ба	بَا
bai	バイ	бай	بَیْ
ban	バン	бань	بًا
bang	バン	бан	بَانْ
bao	バオ	бао	بَوْ
bei	ベイ	бэй	بُوِ
ben	ベン	бэнь	بٌ
beng	ボン	бэн	بٍْ
bi	ビー	би	بِ
bian	ビエン	бянь	بِیًا
biao	ビャオ	бяо	بِیَوْ
bie	ビエ	бе	بِیَ
bin	ビン	бинь	بٍ
bing	ビン	бин	بِیٍٔ
bo	ボー	бо	بُوَ
bu	ブー	бу	بُ
ca	ツァー	ца	ڞَا
cai	ツァイ	цай	ڞَیْ
can	ツァン	цань	ڞًا
cang	ツァン	цан	ڞَانْ
cao	ツァオ	цао	ڞَوْ
ce	ツォー	цэ	ڞَ
cen	ツェン	цэнь	ڞٍ
ceng	ツォン	цэн	ڞْ‌ٍ
cha	チャー	ча	چَا
chai	チャイ	чай	چَیْ
chan	チャン	чань	چًا
chang	チャン	чан	چَانْ
chao	チャオ	чао	چَوْ
che	チョー	чэ	چَ
chen	チェン	чэнь	چٍ
cheng	チョン	чэн	چٍْ
chi	チー	чи	چِ
chong	チョン	чун	چْو
chou	チョウ	чоу	چِوْ
chu	チュー	чу	چُ
chuai	チュワイ	чуай	چُوَیْ
chuan	チュワン	чуань	چُوًا
chuang	チュワン	чуан	چُوَانْ
chui	チュイ	чуй	چُوِ
chun	チュン	чунь	چٌ
chuo	チュオ	чо	چُوَ
ci	ツー	цы	ڞِ
cong	ツォン	цун	ڞْو
cou	ツォウ	цоу	ڞِوْ
cu	ツー	цу	ڞُ
cuan	ツワン	цуань	ڞُوًا
cui	ツイ	цуй	ڞُوِ
cun	ツン	цунь	ڞٌ
cuo	ツオ	цо	ڞُوَ
da	ダー	да	دَا
dai	ダイ	дай	دَیْ
dan	ダン	дань	دًا
dang	ダン	дан	دَانْ
dao	ダオ	дао	دَوْ
de	ドー	дэ	دْ
dei	デイ	дэй	دِْ
